Start AMS reading...
Step 1: Read control type definition data
Read 69 link types from file C:\NEXTA_OpenSource\Software_release\sample_data_sets\2. Importing_Creating_Traffic_Modeling_Data_Sets\3.VISUM_sample_GIS_files\input_link_type.csv
1: node block---
node id,control_type,TAZ,name,x,y
133035572,0,0,,-112.000,40.692,
133035573,0,0,,-111.998,40.693,
133035574,0,0,,-111.996,40.687,
133035575,0,0,,-111.988,40.693,
133035576,0,0,,-111.989,40.694,
133035577,0,0,,-111.989,40.693,
133035578,0,0,,-111.984,40.694,
133035579,0,0,,-111.983,40.693,
133035580,0,0,,-111.983,40.694,
133035581,0,0,,-111.983,40.696,
133035582,0,0,,-111.984,40.696,
133035583,0,0,,-111.984,40.696,
133035584,0,0,,-111.985,40.692,
133035585,0,0,,-111.984,40.693,
133035586,0,0,,-111.983,40.693,
133035587,0,0,,-111.983,40.693,
133035588,0,0,,-111.982,40.693,
133035589,0,0,,-111.978,40.691,
133035590,0,0,,-111.979,40.691,
133035591,0,0,,-111.980,40.691,
133035592,0,0,,-111.981,40.690,
133035593,0,0,,-111.981,40.689,
133035594,0,0,,-111.974,40.692,
133035595,0,0,,-111.975,40.691,
133035596,0,0,,-111.974,40.693,
133035597,0,0,,-111.970,40.693,
133035598,0,0,,-111.970,40.694,
133035599,0,0,,-111.970,40.690,
133035600,0,0,,-111.969,40.694,
133035601,0,0,,-111.969,40.695,
133035602,0,0,,-111.964,40.694,
133035603,0,0,,-111.960,40.691,
133035604,0,0,,-111.960,40.690,
133035605,0,0,,-111.958,40.691,
133035606,0,0,,-111.947,40.697,
133035607,0,0,,-111.958,40.705,
133035608,0,0,,-111.955,40.705,
133035609,0,0,,-111.951,40.705,
133035610,0,0,,-111.984,40.701,
133035611,0,0,,-111.991,40.701,
133035612,0,0,,-111.991,40.704,
133035613,0,0,,-111.997,40.701,
133035614,0,0,,-112.007,40.701,
133035615,0,0,,-112.009,40.700,
133035616,0,0,,-112.011,40.700,
133035617,0,0,,-112.012,40.700,
133035618,0,0,,-112.021,40.700,
133035619,0,0,,-112.030,40.702,
133035620,0,0,,-112.030,40.703,
133035621,0,0,,-112.030,40.704,
133035622,0,0,,-112.025,40.705,
133035623,0,0,,-112.029,40.693,
133035624,0,0,,-112.029,40.693,
133035625,0,0,,-112.028,40.691,
133035626,0,0,,-112.030,40.693,
133035627,0,0,,-112.036,40.692,
imported 388 nodes. 
imported 0 zones from the node layer. 
[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[4]{[4]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[5]{[5]{[2]{[2]{[3]{[3]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[8]{[8]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[3]{[3]{[3]{[3]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[3]{[3]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[3]{[3]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[3]{[3]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[7]{[7]{[2]{[2]{[3]{[3]{[2]{[2]{[2]{[2]{[3]{[3]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[3]{[3]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[3]{[3]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[3]{[3]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{[2]{
