Vehicle Selection Mode,--,Network-wide,--
,,10:30_11:00,323905.72
Category,30-min Departure Time Interval,Total Travel Distance (mile),
,,05:00_05:30,12980.79
,,05:30_06:00,12963.21
,,06:00_06:30,25184.67
,,06:30_07:00,22281.23
,,07:00_07:30,30689.94
,,07:30_08:00,19203.40
,,08:00_08:30,11514.58
,,08:30_09:00,8571.24
,,09:00_09:30,7515.96
,,09:30_10:00,6446.04
,,10:00_10:30,4276.67
,,10:30_11:00,3952.22
Category,30-min Departure Time Interval,Avg Travel Time (min),
,,05:00_05:30, 6.90
,,05:30_06:00, 9.26
,,06:00_06:30,48.48
,,06:30_07:00,173.58
,,07:00_07:30,287.59
,,07:30_08:00,314.77
,,08:00_08:30,311.73
,,08:30_09:00,294.44
,,09:00_09:30,282.74
,,09:30_10:00,261.49
,,10:00_10:30,218.20
,,10:30_11:00,183.52
Category,30-min Departure Time Interval,Avg Travel Distance (mile),
,,05:00_05:30, 2.99
,,05:30_06:00, 2.99
,,06:00_06:30, 2.98
,,06:30_07:00, 2.89
,,07:00_07:30, 2.65
,,07:30_08:00, 2.34
,,08:00_08:30, 2.15
,,08:30_09:00, 2.15
,,09:00_09:30, 2.23
,,09:30_10:00, 2.18
,,10:00_10:30, 2.22
,,10:30_11:00, 2.24
Category,30-min Departure Time Interval,Avg Speed (mile/hour),
,,05:00_05:30,25.97
,,05:30_06:00,19.35
,,06:00_06:30, 3.69
,,06:30_07:00, 1.00
,,07:00_07:30, 0.55
,,07:30_08:00, 0.45
,,08:00_08:30, 0.41
,,08:30_09:00, 0.44
,,09:00_09:30, 0.47
,,09:30_10:00, 0.50
,,10:00_10:30, 0.61
,,10:30_11:00, 0.73
Category,30-min Departure Time Interval,Avg Travel Time Per Mile (min/mile),
,,05:00_05:30, 2.31
,,05:30_06:00, 3.05
,,06:00_06:30,16.24
,,06:30_07:00,64.13
,,07:00_07:30,147.50
,,07:30_08:00,203.14
,,08:00_08:30,227.32
,,08:30_09:00,205.36
,,09:00_09:30,175.11
,,09:30_10:00,160.24
,,10:00_10:30,131.23
,,10:30_11:00,108.43
Category,30-min Departure Time Interval,Travel Time Index: mean/FFTT,
,,05:00_05:30, 1.29
,,05:30_06:00, 1.73
,,06:00_06:30, 8.98
,,06:30_07:00,32.45
,,07:00_07:30,56.86
,,07:30_08:00,69.87
,,08:00_08:30,75.49
,,08:30_09:00,69.45
,,09:00_09:30,64.16
,,09:30_10:00,60.70
,,10:00_10:30,49.63
,,10:30_11:00,41.27
Category,30-min Departure Time Interval,Avg Travel Time STD (min),
,,05:00_05:30, 4.38
,,05:30_06:00, 7.83
,,06:00_06:30,92.12
,,06:30_07:00,177.03
,,07:00_07:30,170.79
,,07:30_08:00,151.31
,,08:00_08:30,123.65
,,08:30_09:00,105.64
,,09:00_09:30,73.91
,,09:30_10:00,76.58
,,10:00_10:30,71.30
,,10:30_11:00,62.52
Category,30-min Departure Time Interval,95th Percentile Travel Time (min),
,,05:00_05:30,14.86
,,05:30_06:00,22.54
,,06:00_06:30,341.56
,,06:30_07:00,480.18
,,07:00_07:30,499.40
,,07:30_08:00,479.09
,,08:00_08:30,451.91
,,08:30_09:00,423.39
,,09:00_09:30,389.68
,,09:30_10:00,360.36
,,10:00_10:30,343.68
,,10:30_11:00,299.98
Category,30-min Departure Time Interval,90th Percentile Travel Time (min),
,,05:00_05:30,12.84
,,05:30_06:00,18.15
,,06:00_06:30,84.83
,,06:30_07:00,433.50
,,07:00_07:30,477.37
,,07:30_08:00,465.00
,,08:00_08:30,438.95
,,08:30_09:00,410.93
,,09:00_09:30,374.61
,,09:30_10:00,356.40
,,10:00_10:30,333.97
,,10:30_11:00,283.80
Category,30-min Departure Time Interval,80th Percentile Travel Time (min),
,,05:00_05:30,10.96
,,05:30_06:00,14.15
,,06:00_06:30,48.75
,,06:30_07:00,375.57
,,07:00_07:30,437.14
,,07:30_08:00,437.91
,,08:00_08:30,416.21
,,08:30_09:00,377.96
,,09:00_09:30,354.25
,,09:30_10:00,347.17
,,10:00_10:30,301.58
,,10:30_11:00,246.94
Category,30-min Departure Time Interval,Planning Time Index: 95th percentile/FFTT,
,,05:00_05:30, 2.78
,,05:30_06:00, 4.20
,,06:00_06:30,63.29
,,06:30_07:00,89.76
,,07:00_07:30,98.75
,,07:30_08:00,106.34
,,08:00_08:30,109.43
,,08:30_09:00,99.86
,,09:00_09:30,88.43
,,09:30_10:00,83.64
,,10:00_10:30,78.17
,,10:30_11:00,67.47
Category,30-min Departure Time Interval,Buffer Index: (95th percentile - mean)/mean,
,,05:00_05:30, 1.15
,,05:30_06:00, 1.43
,,06:00_06:30, 6.05
,,06:30_07:00, 1.77
,,07:00_07:30, 0.74
,,07:30_08:00, 0.52
,,08:00_08:30, 0.45
,,08:30_09:00, 0.44
,,09:00_09:30, 0.38
,,09:30_10:00, 0.38
,,10:00_10:30, 0.58
,,10:30_11:00, 0.63
Category,30-min Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile),
,,05:00_05:30, 2.02
,,05:30_06:00, 2.22
,,06:00_06:30, 3.97
,,06:30_07:00, 6.17
,,07:00_07:30, 0.41
,,07:30_08:00, 0.30
,,08:00_08:30, 0.33
,,08:30_09:00, 0.88
,,09:00_09:30, 0.67
,,09:30_10:00, 1.04
,,10:00_10:30, 2.20
,,10:30_11:00, 1.82
Category,30-min Departure Time Interval,Travel Time Per Mile STD (min/mile),
,,05:00_05:30, 0.55
,,05:30_06:00, 1.54
,,06:00_06:30,29.23
,,06:30_07:00,75.67
,,07:00_07:30,140.48
,,07:30_08:00,185.42
,,08:00_08:30,202.23
,,08:30_09:00,183.41
,,09:00_09:30,124.10
,,09:30_10:00,92.78
,,10:00_10:30,79.84
