origin_zone_no,destination_zone_no,number_of_vehicles,number_of_vehicles_completing_trips,trip_time_in_min,distance_in_mile
24,11,13,13,41.2818,0.62994
24,13,1,1,139.867,1.96634
24,14,1,1,306.142,2.56659
24,15,2,2,259.335,2.56161
24,18,1,1,447.767,4.05185
24,21,1,1,285.056,4.33984
24,23,1,1,165.974,1.89335
24,28,1,1,10.7552,1.682
0,0,2,0,0,0
25,1,59,46,231.012,3.91845
25,2,54,52,231.028,3.28602
25,3,203,203,146.097,1.61438
25,5,40,40,171.063,2.40527
25,6,55,55,171.218,2.69377
25,7,83,83,189.205,2.02208
25,9,123,123,215.446,3.13537
25,11,132,132,161.468,4.16957
25,12,12,12,203.303,3.91364
25,13,47,46,175.395,3.93804
25,14,40,28,278.576,4.14314
25,15,20,12,215.663,4.25155
25,16,17,16,139.441,3.523
25,17,26,25,214.735,3.57414
25,18,10,7,265.724,4.46117
25,19,53,53,158.309,1.47654
25,20,15,15,156.52,1.55009
25,21,34,34,204.974,2.77371
25,22,7,7,223.302,3.14541
25,23,19,19,148.224,2.61842
25,27,30,30,121.926,1.10746
25,28,24,24,182.821,3.87339
25,30,14,14,175.027,3.44235
25,31,46,45,200.674,2.35699
25,32,18,17,253.834,3.4304
25,33,11,11,143.938,1.74358
25,34,55,54,164.611,2.07097
25,35,3,3,70.7745,2.78685
25,36,1,1,319.228,4.00195
25,37,75,75,137.586,1.15168
25,38,30,30,252.511,2.69226
25,39,1,1,254.43,1.28118
25,40,6,6,282.999,3.54669
25,41,71,60,259.702,4.19871
26,1,36,36,229.035,3.95556
26,2,36,36,206.27,2.99589
26,3,134,134,103.303,1.42968
26,5,16,16,200.984,3.19716
26,6,15,15,175.602,3.54492
26,9,42,42,242.127,4.10351
26,10,3,3,200.628,5.12901
26,11,76,76,142.932,5.09345
26,13,31,31,149.883,4.09299
26,14,21,21,279.881,4.02882
26,15,12,12,300.763,4.02384
26,16,13,13,103.309,3.51219
26,17,21,21,205.271,3.3764
26,18,6,6,245.083,4.27679
26,19,11,11,183.452,2.27941
26,20,5,5,100.411,2.49708
26,21,6,6,251.03,3.8625
26,22,2,2,226.252,4.14157
26,25,34,34,107.6,1.11249
26,27,5,5,84.44,1.93869
26,28,11,11,180.083,5.10052
26,30,7,7,247.404,5.0974
26,31,20,20,148.601,2.31631
26,32,10,8,143.715,3.75062
26,34,32,32,121.376,2.01296
26,37,27,27,123.063,1.4418
26,38,8,8,189.5,3.78935
26,41,37,37,214.72,4.15597
27,1,50,46,235.388,3.82959
27,2,49,49,233.915,2.74071
27,3,210,210,116.797,1.0667
27,5,37,37,122.283,1.84655
27,6,33,33,136.095,2.25887
27,7,42,42,117.331,2.41552
27,9,41,41,189.786,3.59701
27,11,57,57,239.115,4.79549
27,13,29,29,243.595,4.43602
27,14,21,9,198.224,5.03945
27,15,10,5,240.56,4.99145
27,16,12,11,251.54,3.91814
27,17,24,24,238.378,3.11351
0,0,1,0,0,0
27,19,25,25,114.123,1.4404
27,20,4,4,46.7698,2.14426
27,21,14,14,189.02,3.41823
27,22,1,1,291.286,4.01076
27,23,4,4,206.277,3.26734
27,25,22,22,117.849,1.0158
27,26,12,12,145.208,1.84598
27,28,9,9,235.708,4.56456
27,30,4,4,142.397,3.67631
27,31,30,30,158.549,2.04781
27,32,11,11,209.63,3.39924
27,33,11,11,88.4477,1.34309
27,34,39,39,172.604,2.10018
27,35,5,5,317.255,3.45651
27,36,1,1,8.95355,4.01029
27,37,53,53,115.469,1.113
27,38,25,25,131.776,2.38353
27,41,44,41,262.798,4.1428
28,1,26,8,233.542,6.10485
28,2,23,20,314.278,5.16117
28,3,74,74,287.847,5.07162
28,5,21,21,205.859,4.779
28,6,22,22,194.186,5.13848
28,7,24,24,232.988,4.41695
28,8,9,9,231.69,4.27631
28,9,162,162,200.797,4.36766
28,10,13,13,112.723,1.90239
28,11,205,205,150.373,1.4672
28,13,44,44,237.382,3.44671
28,14,33,24,310.437,4.38724
28,15,21,16,284.971,4.25752
28,16,8,5,341.278,5.71807
28,17,14,14,257.26,4.81721
28,18,5,1,12.0219,5.41733
28,19,9,9,162.064,3.79922
28,20,8,8,145.252,3.23898
28,21,25,25,197.959,4.33795
28,22,12,12,242.782,4.46735
28,23,23,23,112.822,1.61065
28,24,2,2,209.788,2.57253
28,27,7,7,249.322,4.78354
28,30,29,29,105.286,1.08686
28,31,13,11,387.934,5.25163
28,32,10,7,266.085,5.44254
28,33,5,5,164.864,4.36973
28,34,18,18,232.102,4.63938
28,35,5,5,319.347,4.69851
28,37,19,19,205.125,3.85133
28,38,16,16,299.131,5.11166
28,41,32,10,292.135,6.62131
31,1,169,168,145.866,2.26554
31,2,195,195,114.107,1.33995
31,3,262,262,109.626,1.34434
31,5,48,48,160.093,3.27852
31,6,60,60,171.406,3.61158
31,7,57,57,197.357,3.77378
31,9,73,52,171.503,5.17318
31,10,6,6,250.96,4.10495
31,11,105,105,178.079,4.62442
31,12,10,10,236.797,3.12977
31,13,110,110,176.336,3.05149
31,14,68,61,290.481,3.48264
31,15,46,37,245.889,3.50193
31,16,45,45,144.655,2.8239
31,17,79,79,119.555,1.79349
31,18,15,15,137.49,2.74258
31,19,28,28,170.344,2.66325
31,20,6,6,267.066,3.51869
