movement_index,three-node key,count
610,6255;10857;5587,14
611,6255;1356;6256,3
612,6255;1357;5174,12
613,6255;5215;11183,1
614,6256;5214;11259,312
615,6256;5214;11261,100
616,6256;5214;11281,82
617,6256;5232;11182,79
618,6256;5232;11183,127
619,6256;5232;5219,403
620,6270;10853;11910,298
621,6270;10853;1325,371
622,6270;6273;10851,107
623,6273;10851;10852,107
624,6273;6270;10853,669
625,7210;10850;4156,1
626,7210;10854;5118,477
627,7210;11763;5730,143
628,7984;5728;1361,91
629,7984;5728;5729,1
630,8002;5113;11148,44
631,8002;5113;11160,62
632,8116;5736;11146,34
633,8116;5736;11148,48
634,8172;11489;7984,91
635,8172;3000;1358,462
636,8172;3000;3001,2
637,8172;5730;11763,477
638,8172;5730;1360,90
639,8172;6185;5175,929
