Vehicle Selection Mode,--,Partial Trips Passing Selected Path,--
,,16:00_16:30, 0.47
,,16:30_17:00, 0.38
,,17:00_17:30, 0.27
Category,30-min Departure Time Interval,Avg CO (g/vehicle/mile),
,,15:30_16:00,17.79
,,16:00_16:30,20.02
,,16:30_17:00,20.58
,,17:00_17:30,16.68
Category,30-min Departure Time Interval,Avg HC (g/vehicle/mile),
,,15:30_16:00, 0.14
,,16:00_16:30, 0.16
,,16:30_17:00, 0.13
,,17:00_17:30, 0.09
Category,30-min Departure Time Interval,Avg Miles per Gallon,
,,15:30_16:00, 1.92
,,16:00_16:30, 1.01
,,16:30_17:00, 0.94
,,17:00_17:30, 1.20
Category,1-hour Departure Time Interval,Number of Vehicles,
,,15:00_16:00,60.00
,,16:00_17:00,88.00
,,17:00_18:00,16.00
Category,1-hour Departure Time Interval,Cumulative Number of Vehicles,
,,15:00_16:00,60.00
,,16:00_17:00,148.00
,,17:00_18:00,164.00
Category,1-hour Departure Time Interval,Total Travel Time (min),
,,15:00_16:00,777.60
,,16:00_17:00,893.80
,,17:00_18:00,116.90
Category,1-hour Departure Time Interval,Total Travel Distance (mile),
,,15:00_16:00,90.83
,,16:00_17:00,133.22
,,17:00_18:00,24.22
Category,1-hour Departure Time Interval,Avg Travel Time (min),
,,15:00_16:00,12.96
,,16:00_17:00,10.16
,,17:00_18:00, 7.31
Category,1-hour Departure Time Interval,Avg Travel Distance (mile),
,,15:00_16:00, 1.51
,,16:00_17:00, 1.51
,,17:00_18:00, 1.51
Category,1-hour Departure Time Interval,Avg Speed (mile/hour),
,,15:00_16:00, 7.01
,,16:00_17:00, 8.94
,,17:00_18:00,12.43
Category,1-hour Departure Time Interval,Avg Travel Time Per Mile (min/mile),
,,15:00_16:00, 8.56
,,16:00_17:00, 6.71
,,17:00_18:00, 4.83
Category,1-hour Departure Time Interval,Travel Time Index: mean/FFTT,
,,15:00_16:00, 5.14
,,16:00_17:00, 4.03
,,17:00_18:00, 2.90
Category,1-hour Departure Time Interval,Avg Travel Time STD (min),
,,15:00_16:00, 8.76
,,16:00_17:00, 8.15
,,17:00_18:00, 0.47
Category,1-hour Departure Time Interval,95th Percentile Travel Time (min),
,,15:00_16:00,26.00
,,16:00_17:00,26.10
,,17:00_18:00, 8.00
Category,1-hour Departure Time Interval,90th Percentile Travel Time (min),
,,15:00_16:00,22.00
,,16:00_17:00,21.00
,,17:00_18:00, 8.00
Category,1-hour Departure Time Interval,80th Percentile Travel Time (min),
,,15:00_16:00,18.00
,,16:00_17:00, 8.00
,,17:00_18:00, 8.00
Category,1-hour Departure Time Interval,Planning Time Index: 95th percentile/FFTT,
,,15:00_16:00,10.30
,,16:00_17:00,10.34
,,17:00_18:00, 3.17
Category,1-hour Departure Time Interval,Buffer Index: (95th percentile - mean)/mean,
,,15:00_16:00, 1.01
,,16:00_17:00, 1.57
,,17:00_18:00, 0.09
Category,1-hour Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile),
,,15:00_16:00, 2.75
,,16:00_17:00,1400.00
,,17:00_18:00,100.00
Category,1-hour Departure Time Interval,Travel Time Per Mile STD (min/mile),
,,15:00_16:00, 5.79
,,16:00_17:00, 5.38
,,17:00_18:00, 0.31
Category,1-hour Departure Time Interval,95th Percentile Travel Time Per Mile (min/mile),
,,15:00_16:00,17.17
,,16:00_17:00,17.24
,,17:00_18:00, 5.28
Category,1-hour Departure Time Interval,90th Percentile Travel Time Per Mile (min/mile),
,,15:00_16:00,14.53
,,16:00_17:00,13.87
,,17:00_18:00, 5.28
Category,1-hour Departure Time Interval,80th Percentile Travel Time Per Mile (min/mile),
,,15:00_16:00,11.89
,,16:00_17:00, 5.28
,,17:00_18:00, 5.28
Category,1-hour Departure Time Interval,Total Generalized Time:TT+Toll/VOT (min),
,,15:00_16:00,5126.63
,,16:00_17:00,18474.56
,,17:00_18:00,2692.37
Category,1-hour Departure Time Interval,Avg Generalized Travel Time:TT+Toll/VOT (min),
,,15:00_16:00,85.44
,,16:00_17:00,209.94
,,17:00_18:00,168.27
Category,1-hour Departure Time Interval,Total Energy (KJ),
,,15:00_16:00,5746837.00
,,16:00_17:00,16549562.00
,,17:00_18:00,2451664.00
Category,1-hour Departure Time Interval,Total CO2 (g),
,,15:00_16:00,413005.97
,,16:00_17:00,1189361.38
,,17:00_18:00,176192.91
Category,1-hour Departure Time Interval,Total NOx (g),
,,15:00_16:00,35.18
,,16:00_17:00,57.10
,,17:00_18:00, 6.47
Category,1-hour Departure Time Interval,Total CO (g),
,,15:00_16:00,1615.50
,,16:00_17:00,2702.00
,,17:00_18:00,404.11
Category,1-hour Departure Time Interval,Total HC (g),
,,15:00_16:00,12.45
,,16:00_17:00,19.30
,,17:00_18:00, 2.20
Category,1-hour Departure Time Interval,Total Gallon,
,,15:00_16:00,47.22
,,16:00_17:00,135.99
,,17:00_18:00,20.15
Category,1-hour Departure Time Interval,Avg Energy (KJ/vehicle/mile),
,,15:00_16:00,63267.45
,,16:00_17:00,124224.27
,,17:00_18:00,101214.73
Category,1-hour Departure Time Interval,Avg CO2 (g/vehicle/mile),
,,15:00_16:00,4546.82
,,16:00_17:00,8927.58
,,17:00_18:00,7273.96
Category,1-hour Departure Time Interval,Avg NOx (g/vehicle/mile),
,,15:00_16:00, 0.39
,,16:00_17:00, 0.43
,,17:00_18:00, 0.27
Category,1-hour Departure Time Interval,Avg CO (g/vehicle/mile),
,,15:00_16:00,17.79
,,16:00_17:00,20.28
,,17:00_18:00,16.68
Category,1-hour Departure Time Interval,Avg HC (g/vehicle/mile),
,,15:00_16:00, 0.14
,,16:00_17:00, 0.14
,,17:00_18:00, 0.09
Category,1-hour Departure Time Interval,Avg Miles per Gallon,
,,15:00_16:00, 1.92
,,16:00_17:00, 0.98
,,17:00_18:00, 1.20
Category,2-hour Departure Time Interval,Number of Vehicles,
,,14:00_16:00,60.00
,,16:00_18:00,104.00
